Staffel;Mannschaft;Adresse
KK-02;Harburger TB 3.;Jahnhöhe 1, Vahrenwinkelweg 28, 21075 Hamburg
KK-02;Buchholz 3.;Sportzentrum Holzweg Platz 1, Holzweg 8 b, 21244 Buchholz in der Nordheide
KK-02;Finkenwerder 2.;Finksweg, Finksweg 82 A, 21129 Hamburg
KK-02;Juventude 1.;Karl-Arnold-Ring 3, Karl-Arnold-Ring 15, 21109 Hamburg
KK-02;Dersimspor 2.;Ehestorfer Weg, Ehestorfer Weg 14 a, 21075 Hamburg
KK-03;Aumühle 2.;Fritz-Bortz-Sportplatz, Sachsenwaldstr., 21521 Aumühle
KK-03;SVNA 2.;Allermöhe 2, Henriette-Herz-Ring, 21035 Hamburg
KK-03;SC V. M. 3.;Zollenspieker, Auf dem Sülzbrack 2, 21037 Hamburg
KK-03;TSG Bergedorf 1.;Billtalstadion, Daniel-Hinsche-Straße 50, 21029 Hamburg
KK-03;Reinbek 2.;Reinbek 2, Theodor-Storm-Str/Mühlenredder, 21465 REINBEK
KK-03;Schwarzenbek 3.;Schwarzenbek 2, Schützenallee, 21493 Schwarzenbek
KK-03;Escheburg 3.;Escheburg, Stubbenberg 17 a, 21039 Escheburg
KK-03;Börnsen 3.;Börnsen 1 (Rasen), Hamfelderedder, 21039 Börnsen
KK-03;Altengamme 3.;Gammer Weg 2, Gammer Weg 49 A, 21039 Hamburg
KK-03;ASV Bergedorf 85 2.;Sander Tannen 3, Krusestr. 5, 21033 Hamburg
KK-03;FSV Geesthacht 2.;Berlinerstrasse 2, Berliner Str. 62, 21502 Geesthacht
KK-03;FC Lauenburg 1.;Lauenburg 1 (Rasen), Glüsinger Weg, 21481 Lauenburg
KK-03;Grünhof-Tesperhude 1.;Grünhof, Westerheese, 21502 Geesthacht
KK-03;Düneberg 2.;Düneberg, Silberberg 11, 21502 Geesthacht
KK-04;Aumühle 3.;Fritz-Bortz-Sportplatz, Sachsenwaldstr., 21521 Aumühle
KK-04;Einigkeit 2.;Dratelnstraße 1, Dratelnstr. 21, 21109 Hamburg
KK-04;Lorbeer 1.;Marckmannstraße, Marckmannstr. 125, 20539 Hamburg
KK-04;HafenCity 2.;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KK-04;Bostelbek 2.;Alter Postweg, Alter Postweg 30, 21075 Hamburg
KK-04;MSV Hamburg 3.;Kandinskyallee 2, Kandinskyallee 29, 22115 Hamburg
KK-04;Mesopotamien 2.;Außenmühle, Vinzenzweg 18, 21077 Hamburg
KK-04;RW Wilhelmsburg 3.;Rotenhäuser Damm, Rotenhäuser Damm 94, 21107 Hamburg
KK-04;FC Türkiye 2.;Fährstrasse, Heinrich-Gross-Str. 90, 21107 Hamburg
KK-04;Störtebeker SV 1.;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KK-04;Billstedt-Horn 5.;Billstedt 1 Stadion, Möllner Landstr. 197, 22117 Hamburg
KK-04;Vorwärts Ost 1.;Rahmwerder Strasse, Rahmwerder Str. 11, 21109 Hamburg
KK-04;SV Wilhelmsburg 3.;Karl-Arnold-Ring 2, Karl-Arnold-Ring 15, 21109 Hamburg
KK-05;ETSV Hamburg 2.;Mittl. Landweg 1, Mittlerer Landweg 40, 21033 Hamburg
KK-05;SC Europa 1.;Rahewinkel, Beim Saaren 1, 22115 Hamburg
KK-05;SC V. M. 4.;Zollenspieker, Auf dem Sülzbrack 2, 21037 Hamburg
KK-05;Billstedt-Horn 3.;Billstedt 3, Möllner Landstr. 197, 22117 Hamburg
KK-05;MSV Hamburg 1.;Kandinskyallee 2, Kandinskyallee 29, 22115 Hamburg
KK-05;SC Hamm 1.;Ernst-Fischer-Platz 2, Neue Süderstraße, 20537 Hamburg
KK-05;Oststeinbek 2.;Oststeinbek 1 (Kunstrasen), Meessen 32, 22113 Oststeinbek
KK-05;ASV Bergedorf 85 3.;Sander Tannen 3, Krusestr. 5, 21033 Hamburg
KK-05;Glinde 3.;Bernd Schaffernicht Platz 2, Am Sportplatz 98 A, 21509 Glinde
KK-05;Polonia 4.;Finkenau, Finkenau 38, 22081 Hamburg
KK-05;FC Preußen Hamburg 1.;Von Elm Weg, Von-Elm-Weg 16, 22111 Hamburg
KK-05;Hamm United 3.;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KK-05;Aumühle 4.;Fritz-Bortz-Sportplatz, Sachsenwaldstr., 21521 Aumühle
KK-05;Lorbeer 2.;Marckmannstraße, Marckmannstr. 125, 20539 Hamburg
KK-05;SVNA 3.;Allermöhe 2, Henriette-Herz-Ring, 21035 Hamburg
KK-06;Condor 4.;Farmsen 2, Berner Heerweg 189, 22159 Hamburg
KK-06;Concordia 3.;Jenfeld 2, Bekkamp 25, 22045 Hamburg
KK-06;Polonia 3.;Finkenau, Finkenau 38, 22081 Hamburg
KK-06;Farmsen 1.;Farmsen 1, Berner Heerweg 189, 22159 Hamburg
KK-06;Stapelfeld 2.;Am Drehbarg, Am Drehbarg 1, 22145 Stapelfeld
KK-06;Barsbüttel 3.;Barsbüttel 2, Soltausredder 21, 22885 Barsbüttel
KK-06;tus BERNE 3.;Berne, Berner Allee 64, 22159 Hamburg
KK-06;Willinghusen 2.;Willinghusen 1, Am Sportplatz, 22885 Barsbüttel
KK-06;Vorw. Wacker 4.;Öjendorfer Weg 2, Öjendorfer Weg 80, 22119 Hamburg
KK-06;SC FU 1.;Friedrichshöh 2, Walddörferstr. 330, 22047 Hamburg
KK-06;Lorbeer 3.;Marckmannstraße, Marckmannstr. 125, 20539 Hamburg
KK-06;Billstedt-Horn 4.;Billstedt 1 Stadion, Möllner Landstr. 197, 22117 Hamburg
KK-07;SV Alter Teichweg 1.;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-07;Tonndorf-Lohe 1.;Grunewaldstr.61/I, Grunewaldstraße 61, 22149 Hamburg
KK-07;HafenCity 3.;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KK-07;SV Barmbek 1.;Meister-Francke-Strasse, Meister-Francke-Str., 22309 Hamburg
KK-07;MSV Hamburg 4.;Kandinskyallee 2, Kandinskyallee 29, 22115 Hamburg
KK-07;BU 5.;Langenfort 1, Langenfort 70, 22307 Hamburg
KK-07;Farmsen 2.;Farmsen 1, Berner Heerweg 189, 22159 Hamburg
KK-07;Bramfeld 5.;Uwe Herzberg Sportanlage, Ellernreihe 88, 22179 Hamburg
KK-07;DJK Hamburg 1.;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-07;tus BERNE 2.;Berne, Berner Allee 64, 22159 Hamburg
KK-07;Hellbrook 1.;Gropiusring 1 (Rasen), Gropiusring 43, 22309 Hamburg
KK-07;Croatia 2.;Finkenau, Finkenau 38, 22081 Hamburg
KK-07;FC Gregs 1.;Gropiusring 1 (Rasen), Gropiusring 43, 22309 Hamburg
KK-08;Nordlichter im NSV 1.;Schulzentrum-Nord, Moorbekstr. 25, 22846 Norderstedt
KK-08;HSV V;Paul-Hauenschild-Plätze 4, Ulzburger Str. 94, 22850 Norderstedt
KK-08;Polonia 2.;Finkenau, Finkenau 38, 22081 Hamburg
KK-08;Paloma 4.;Brucknerstrasse, Brucknerstraße 24, 22083 Hamburg
KK-08;VfL 93 2.;Borgweg, Südring, 22303 Hamburg
KK-08;Glashütte 2.;Glashütte 2, Poppenbütteler Str. 272, 22851 Norderstedt
KK-08;Alstertal-Langenhorn 2.;Hermann Löns-Pl., Schlehdornweg, 22335 Hamburg
KK-08;Hamburg Hurricanes 2.;Neue Welt 2/Unten, Jahnring (Ecke Hindenburgstr.) 24, 22297 HAMBURG
KK-08;DUWO 08 1.;Ohlstedt 2, Sthamerstr. 30, 22397 Hamburg
KK-08;Poppenbüttel 2.;Bültenkoppel 1, Bültenkoppel 1, 22399 Hamburg
KK-08;UH-Adler 3.;Beethovenstraße, Beethovenstr. 51, 22083 Hamburg
KK-08;Bergstedt 2.;Bergstedt, Teekoppel 9, 22395 Hamburg
KK-08;DSC Hanseat 3.;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-08;Hellbrook 2.;Gropiusring 2, Gropiusring 43, 22309 Hamburg
KK-08;Hummelsbüttel 1.;Hummelsbüttel, Hummelsbüttler Hauptstr. 102, 22339 Hamburg
KK-09;VfL 93 3.;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KK-09;Tangstedt 2.;Tangstedt 2, Hasloher Weg 5, 25499 Tangstedt
KK-09;Victoria 5.;Stadion Hoheluft, Lokstedter Steindamm 87, 22529 Hamburg
KK-09;Alstertal-Langenhorn 3.;Beckermannweg Platz 2, Beckermannweg 23, 22419 Hamburg
KK-09;Friedrichsgabe 1.;Lawetzstraße, Lawaetzstr. 8, 22844 Norderstedt
KK-09;FC Guine-Bissau;Rahewinkel, Beim Saaren 1, 22115 Hamburg
KK-09;Rugenbergen 3.;Sportzentrum Bönningstedt 2, Ellerbeker Str. 29-31, 25474 Bönningstedt
KK-09;Teutonia 10 3.;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-09;Niendorf 5.;Sachsenweg 2 (Kunstrasen), Sachsenweg 78, 22455 Hamburg
KK-09;Nordlichter im NSV 2.;Schulzentrum-Nord, Moorbekstr. 25, 22846 Norderstedt
KK-09;Germania 3.;Königskinderweg 1, Königskinderweg 67 A, 22457 Hamburg
KK-09;Eintracht Lokstedt 3.;Sportpark Eintracht Lokstedt, Döhrntwiete 2 a, 22529 Hamburg
KK-09;SV Groß Borstel 3.;Brödermannsweg, Brödermannsweg 31, 22453 Hamburg
KK-10;Eintracht Lokstedt 4.;Sportpark Eintracht Lokstedt, Döhrntwiete 2 a, 22529 Hamburg
KK-10;HFC Falke 2.;Sportpark Eimsbüttel Platz 3, Hagenbeckstraße 124, 22527 Hamburg
KK-10;Rellinger FC 1.;Gemeindesportpl.Rell., Ellerbeker Weg, 25462 Rellingen
KK-10;SV Groß Borstel 2.;Brödermannsweg, Brödermannsweg 31, 22453 Hamburg
KK-10;Teutonia 10 1.;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-10;DUWO 08 2.;Ohlstedt 2, Sthamerstr. 30, 22397 Hamburg
KK-10;TuS Osdorf 2.;Blomkamp, Blomkamp 32, 22549 Hamburg
KK-10;Lohkamp 2.;Furtweg 2, Furtweg 51, 22523 Hamburg
KK-10;SV Eidelstedt 4.;Furtweg 2, Furtweg 51, 22523 Hamburg
KK-10;Sternschanze 4.;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-10;GW Eimsbüttel 3.;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-10;West-Eimsbüttel 2.;Vogt-Kölln-Straße Platz 2, Vogt-Kölln-Str. 50, 22527 Hamburg
KK-10;Groß Flottbek 2.;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KK-11;Groß Flottbek 3.;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KK-11;Sternschanze 5.;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-11;Alsterbrüder 4.;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KK-11;HEBC 4.;Reinmüller-Platz 2, Tornquiststr., 20259 Hamburg
KK-11;Inter Eidelstedt 1.;Sportpark Eimsbüttel Platz 3, Hagenbeckstraße 124, 22527 Hamburg
KK-11;GW Eimsbüttel 4.;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-11;Stellingen 1.;Vogt-Kölln-Straße Platz 1, Vogt-Kölln-Str. 50, 22527 Hamburg
KK-11;Teutonia 10 2.;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-11;Hammonia 4.;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-11;Lohkamp 3.;Furtweg 1, Furtweg 51, 22523 Hamburg
KK-11;Union 03 2.;Jahnplatz 3, Memellandallee, 22769 Hamburg
KK-11;Hansa 11 3.;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KK-12;Rissen 2.;Marschweg 1, Marschweg 85, 22559 Hamburg
KK-12;VfL Pinneberg 2.;Kampfbahn B, An der Raa, 25421 Pinneberg
KK-12;FC Hamburger Berg 1.;Sternschanzen-Park, Sternschanze 4, 20357 Hamburg
KK-12;Wedel 2.;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KK-12;Kickers Halstenbek 1.;Schule Süd, Birkenallee, 25469 Halstenbek
KK-12;Cosmos Wedel 2.;Schulauer Str. 2, Schulauer Str., 22880 Wedel
KK-12;TuS Osdorf 3.;Blomkamp, Blomkamp 32, 22549 Hamburg
KK-12;SC Pinneberg 1.;An Der Raa 1, An der Raa 13, 25421 Pinneberg
KK-12;Komet Blankenese 1.;Dockenhuden 2, Simrockstr. 62 A, 22589 Hamburg
KK-12;Osdorfer Born 1.;Kroonhorst 3, Kroonhorst 117-119, 22549 Hamburg
KK-12;Altona 93 4.;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KK-12;BLS Hamburg 01 1.;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-12;Waldenau 1.;Stipper-Barthel-Platz, Jappopweg 53, 25421 Pinneberg
KK-12;Union 03 3.;Jahnplatz 3, Memellandallee, 22769 Hamburg
KL-01;Moorrege 1.;Himmelsbarg 1, Kirchenstr. 28, 25436 Moorrege
KL-01;Wedel 1.;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KL-01;Sparrieshoop 1.;Helmut-Gehn-Stadion, Am Rosengarten 4, 25365 Klein Offenseth-Sparrieshoop
KL-01;Borstel 1.;Borstel 1 (Rasen), Quickborner Str. 99, 25494 Borstel-Hohenraden
KL-01;Heidgraben 2.;Udo-Tesch-Sportpark 2, Uetersener Str. 1 A, 25436 Heidgraben
KL-01;Appen 1.;Appen 1, Almtweg, 25482 Appen
KL-01;Union Tornesch 3.;Großer Moorweg Platz 3, Großer Moorweg 30, 25436 Tornesch
KL-01;Heist 1.;Hamburger Strasse (Rasen), Hamburger Str., 25492 Heist
KL-01;Rantzau 2.;Düsterlohe 2, Düsterlohe 6, 25355 Barmstedt
KL-01;Rissen 1.;Marschweg 1, Marschweg 85, 22559 Hamburg
KL-01;Cosmos Wedel 1.;Schulauer Str. 2, Schulauer Str., 22880 Wedel
KL-01;Roland Wedel 1.;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KL-01;Hörnerkirchen 1.;Hörnerkirchen, Schulweg 3, 25364 Brande-Hörnerkirchen
KL-01;Tangstedt 1.;Tangstedt 2, Hasloher Weg 5, 25499 Tangstedt
KL-01;Lieth 2.;Klaus-Waskow-Platz, Am Butterberg 10, 25336 Klein Nordende
KL-01;Holm 1.;Sportzentrum Holm (Stadion), Im Sande / Meierhof, 25488 HOLM
KL-02;FSV Harburg-Rönneburg 1.;Wilstorfer Höh, Brandesstr. 12, 21079 Hamburg
KL-02;Este 06/​70 1.;Cranz (Rasen), Estebogen, 21129 Hamburg
KL-02;Viktoria Harburg 1.;Baererstraße, Baererstr. 45 A, 21073 Hamburg
KL-02;Kosova 2.;Slomanstr., Slomanstr., 20539 Hamburg
KL-02;Buxtehude 1.;Jahnstadion 2, An der Rennbahn 1, 21614 Buxtehude
KL-02;St. Pauli VII;Feldstraße 2, Heiligengeistfeld, 20359 Hamburg
KL-02;Harburger TB 2.;Jahnhöhe 1, Vahrenwinkelweg 28, 21075 Hamburg
KL-02;Bostelbek 1.;Alter Postweg, Alter Postweg 30, 21075 Hamburg
KL-02;Harburger SC 2.;Rabenstein, Hölscherweg 11, 21077 Hamburg
KL-02;Altenwerder 1.;Jägerhof 1 a (Nord), Talweg 1, 21149 Hamburg
KL-02;RW Wilhelmsburg 1.;Rotenhäuser Damm, Rotenhäuser Damm 94, 21107 Hamburg
KL-02;Hellas United 1.;Jägerhof 1 b (Süd), Talweg 1, 21149 Hamburg
KL-02;Süderelbe 3.;Kiesbarg, Kiesbarg, 21149 Hamburg
KL-02;FC Veddel United 1.;Slomanstr., Slomanstr., 20539 Hamburg
KL-02;SV Wilhelmsburg 1.;Karl-Arnold-Ring 1, Karl-Arnold-Ring 15, 21109 Hamburg
KL-03;Voran Ohe 2.;Stadion Ohe 1, Amselstieg 26, 21465 Reinbek
KL-03;Reinbek 1.;Reinbek 2, Theodor-Storm-Str/Mühlenredder, 21465 REINBEK
KL-03;SC Wentorf 2.;Am Sportplatz 2 (Kunstrasen), Am Sportplatz 10, 21465 Wentorf bei Hamburg
KL-03;SC V. M. 2.;Zollenspieker, Auf dem Sülzbrack 2, 21037 Hamburg
KL-03;ASV Bergedorf 85 1.;Sander Tannen 3, Krusestr. 5, 21033 Hamburg
KL-03;Lohbrügge 2.;Binnenfeldredder 2, Binnenfeldredder 9, 21031 Hamburg
KL-03;Altengamme 2.;Gammer Weg 2, Gammer Weg 49 A, 21039 Hamburg
KL-03;Curslack-Neuengamme 2.;Curslack, Gramkowweg 5, 21039 Hamburg
KL-03;Escheburg 2.;Escheburg, Stubbenberg 17 a, 21039 Escheburg
KL-03;Börnsen 2.;Börnsen 1 (Rasen), Hamfelderedder, 21039 Börnsen
KL-03;Dassendorf 2.;Dassendorf 1, Wendelweg, 21521 Dassendorf
KL-03;FSV Geesthacht 1.;Berlinerstrasse 2, Berliner Str. 62, 21502 Geesthacht
KL-03;Lauenburg 1.;Lauenburg 2, Glüsinger Weg, 21481 Lauenburg
KL-03;Schwarzenbek 2.;Schwarzenbek 2, Schützenallee, 21493 Schwarzenbek
KL-04;Billstedt-Horn 1.;Billstedt 1 Stadion, Möllner Landstr. 197, 22117 Hamburg
KL-04;Barsbüttel 2.;Barsbüttel 2, Soltausredder 21, 22885 Barsbüttel
KL-04;Walddörfer 2.;Stad. Allhorn, Ahrensburger Weg 28, 22359 Hamburg
KL-04;Willinghusen 1.;Willinghusen 1, Am Sportplatz, 22885 Barsbüttel
KL-04;Condor 3.;Berner Heerweg 190/I, Berner Heerweg 190, 22159 Hamburg
KL-04;Stapelfeld 1.;Am Drehbarg, Am Drehbarg 1, 22145 Stapelfeld
KL-04;Ahrensburg 2.;Stormarnplatz 2, Klaus-Groth-Straße, 22926 Ahrensburg
KL-04;Meiendorf 2.;Deepenhorn 1, Deepenhorn 5, 22145 Hamburg
KL-04;Wandsetal 1.;Sportpark Hinschenfelde, Walddörferstr. 247, 22047 Hamburg
KL-04;Rahlstedt 2.;Scharbeutzerstr. 3, Scharbeutzer Str. 23, 22147 Hamburg
KL-04;ASV Hamburg 2.;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-04;Urania 1.;Schützenhof, Habichtstr. 14, 22305 Hamburg
KL-04;BU 4.;Dieselstraße, Dieselstr. 6, 22307 Hamburg
KL-04;Bramfeld 2.;Uwe Herzberg Sportanlage, Ellernreihe 88, 22179 Hamburg
KL-05;Rahlstedt 3.;Scharbeutzerstr. 3, Scharbeutzer Str. 23, 22147 Hamburg
KL-05;Eilbek 3.;Fichtestrasse, Fichtestraße 39, 22089 Hamburg
KL-05;Hamm United 2.;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-05;BU 3.;Langenfort 2, Langenfort 70, 22307 Hamburg
KL-05;Wellingsbüttel 2.;Am Pfeilshof, Am Pfeilshof /Zuf. Waldingstr., 22391 HAMBURG
KL-05;Wandsetal 2.;Friedrichshöh 2, Walddörferstr. 330, 22047 Hamburg
KL-05;FC Winterhude 1.;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KL-05;Paloma 3.;Brucknerstrasse, Brucknerstraße 24, 22083 Hamburg
KL-05;Billstedt-Horn 2.;Billstedt 3, Möllner Landstr. 197, 22117 Hamburg
KL-05;Sasel 3.;Parkweg, Saseler Parkweg 14, 22393 Hamburg
KL-05;Sperber 2.;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KL-05;TuS Hamburg 1.;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-05;Polonia 1.;Finkenau, Finkenau 38, 22081 Hamburg
KL-05;Hamburg Hurricanes 1.;Neue Welt 2/Unten, Jahnring (Ecke Hindenburgstr.) 24, 22297 HAMBURG
KL-05;UH-Adler 2.;Beethovenstraße, Beethovenstr. 51, 22083 Hamburg
KL-05;Bramfeld 3.;Gropiusring 2, Gropiusring 43, 22309 Hamburg
KL-06;Hasloh 1.;Gerd Buhr-Sportplatz 1, Am Sportplatz 2, 25474 Hasloh
KL-06;Ellerau 1.;Ellerau 2, Dorfstr. 51, 25479 Ellerau
KL-06;Niendorf 4.;Bondenwald, Bondenwald, 22453 Hamburg
KL-06;Hoisbüttel 1.;Kay Weber Platz, Bullenredder 9, 22949 Ammersbek
KL-06;Bergstedt 1.;Bergstedt, Teekoppel 9, 22395 Hamburg
KL-06;St. Pauli IV;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-06;1. FC Quickborn 1.;Holstenstadion 2, Harksheider Weg 258, 25451 Quickborn
KL-06;Lemsahl 1.;Eichelhäherkamp, Eichelhäherkamp 3, 22397 Hamburg
KL-06;Glashütte 1.;Glashütte 2, Poppenbütteler Str. 272, 22851 Norderstedt
KL-06;Egenbüttel 2.;Am Moorweg 1 (Rasen), Moorweg 68 A, 25462 Rellingen
KL-06;Germania 2.;Schnelsen 1, Riekbornweg 5, 22457 Hamburg
KL-06;Rugenbergen 2.;Sportzentrum Bönningstedt 2, Ellerbeker Str. 29-31, 25474 Bönningstedt
KL-06;Harksheide 3.;collatz+schwartz Sportpark, Am Exerzierplatz 14-16, 22844 Norderstedt
KL-06;West-Eimsbüttel 1.;Vogt-Kölln-Straße Platz 2, Vogt-Kölln-Str. 50, 22527 Hamburg
KL-06;SV Eidelstedt 1.;Furtweg 1, Furtweg 51, 22523 Hamburg
KL-07;Hansa 11 1.;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-07;St. Pauli V;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-07;GW Eimsbüttel 2.;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KL-07;BSV 19 1.;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KL-07;Sternschanze 2.;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-07;Victoria 3.;Lokstedter Steindamm 52 Pl. 1, Lokstedter Steindamm 52, 22529 Hamburg
KL-07;Alsterbrüder 2.;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KL-07;Egenbüttel 3.;Am Moorweg 1 (Rasen), Moorweg 68 A, 25462 Rellingen
KL-07;Eimsbüttel 3.;Sportplatz Bundesstr. 1, Bundesstr. 96, 20144 Hamburg
KL-07;Hammonia 2.;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-07;Blau-Weiss Ellas 1.;Jahnplatz 3, Memellandallee, 22769 Hamburg
KL-07;HEBC 3.;Reinmüller-Platz 1, Tornquiststr. 79, 20259 Hamburg
KL-07;HafenCity 1.;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KL-07;Altona 93 3.;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KL-08;Teutonia 05 3.;Kreuzkirche, Holstentwiete 47, 22763 Hamburg
KL-08;Nienstedten 2.;Quellental, Quellental 27, 22609 Hamburg
KL-08;Hammonia 3.;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-08;Lohkamp 1.;Furtweg 1, Furtweg 51, 22523 Hamburg
KL-08;Nikola Tesla 2.;Baurstraße Platz 4, Baurstr. 9, 22605 Hamburg
KL-08;Eimsbüttel 4.;Sportplatz Bundesstr. 1, Bundesstr. 96, 20144 Hamburg
KL-08;Blankenese 2.;Dockenhuden 3, Simrockstr. 62 A, 22589 Hamburg
KL-08;Sternschanze 3.;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-08;Alsterbrüder 3.;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KL-08;Groß Flottbek 1.;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KL-08;Altenwerder 2.;Jägerhof 1 a (Nord), Talweg 1, 21149 Hamburg
KL-08;Lurup 1.;Vorhornweg Platz 1, Vorhornweg 1, 22547 Hamburg
KL-08;Hansa 11 2.;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-08;St. Pauli VI;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-08;Union Tornesch 4.;Großer Moorweg Platz 3, Großer Moorweg 30, 25436 Tornesch
KL-08;Victoria 4.;Lokstedter Steindamm 52 Pl. 1, Lokstedter Steindamm 52, 22529 Hamburg
