Staffel;Vereinsname
KK-07;Tonndorf-Lohe 1.
KK-07;Croatia 2.
KK-07;SV Alter Teichweg 1.
KK-07;DJK Hamburg 1.
KK-07;SV Barmbek 1.
KK-07;Urania 2.
KK-07;Hellbrook 1.
KK-07;HafenCity 3.
KK-07;tus BERNE 2.
KK-07;Farmsen 2.
KK-07;Bramfeld 5.
KK-07;BU 5.
KK-07;FC Gregs 1.
KK-07;DSC Hanseat 2.
KK-07;MSV Hamburg 4.
KK-07;FC Gregs 1.
KK-07;Hellbrook 1.
KK-07;SV Alter Teichweg 1.
KK-07;DSC Hanseat 2.
KK-07;tus BERNE 2.
KK-07;Tonndorf-Lohe 1.
KK-07;Croatia 2.
KK-07;SV Barmbek 1.
KK-07;BU 5.
KK-07;HafenCity 3.
KK-07;Farmsen 2.
KK-07;Urania 2.
KK-07;MSV Hamburg 4.
KK-07;DJK Hamburg 1.
KK-07;Bramfeld 5.
KK-08;VfL 93 2.
KK-08;Poppenbüttel 2.
KK-08;Nordlichter im NSV 1.
KK-08;Glashütte 2.
KK-08;Paloma 4.
KK-08;Hummelsbüttel 1.
KK-08;HSV V
KK-08;Polonia 2.
KK-08;Hamburg Hurricanes 2.
KK-08;UH-Adler 3.
KK-08;Hellbrook 2.
KK-08;DSC Hanseat 3.
KK-08;DUWO 08 1.
KK-08;Alstertal-Langenhorn 2.
KK-08;Bergstedt 2.
KK-08;Glashütte 2.
KK-08;DSC Hanseat 3.
KK-08;Hellbrook 2.
KK-08;Nordlichter im NSV 1.
KK-08;VfL 93 2.
KK-08;Alstertal-Langenhorn 2.
KK-08;Hummelsbüttel 1.
KK-08;Polonia 2.
KK-08;HSV V
KK-08;Paloma 4.
KK-08;DUWO 08 1.
KK-08;Bergstedt 2.
KK-08;UH-Adler 3.
KK-08;Poppenbüttel 2.
KK-08;Hamburg Hurricanes 2.
KK-09;Alstertal-Langenhorn 3.
KK-09;SV Groß Borstel 3.
KK-09;Eintracht Lokstedt 3.
KK-09;Friedrichsgabe 1.
KK-09;Teutonia 10 3.
KK-09;Nordlichter im NSV 2.
KK-09;Tangstedt 2.
KK-09;Victoria 5.
KK-09;FC Guine-Bissau
KK-09;Niendorf 5.
KK-09;VfL 93 3.
KK-09;Germania 3.
KK-09;Rugenbergen 3.
KK-09;Victoria 5.
KK-09;FC Guine-Bissau
KK-09;Rugenbergen 3.
KK-09;VfL 93 3.
KK-09;Eintracht Lokstedt 3.
KK-09;Alstertal-Langenhorn 3.
KK-09;Teutonia 10 3.
KK-09;Friedrichsgabe 1.
KK-09;Tangstedt 2.
KK-09;Germania 3.
KK-09;Nordlichter im NSV 2.
KK-09;SV Groß Borstel 3.
KK-09;Niendorf 5.
KK-10;Sternschanze 4.
KK-10;DUWO 08 2.
KK-10;GW Eimsbüttel 3.
KK-10;HFC Falke 2.
KK-10;Lohkamp 2.
KK-10;Teutonia 10 1.
KK-10;Groß Flottbek 2.
KK-10;Rellinger FC 1.
KK-10;West-Eimsbüttel 2.
KK-10;Eintracht Lokstedt 4.
KK-10;SV Groß Borstel 2.
KK-10;SV Eidelstedt 4.
KK-10;TuS Osdorf 2.
KK-10;Teutonia 10 1.
KK-10;TuS Osdorf 2.
KK-10;DUWO 08 2.
KK-10;SV Eidelstedt 4.
KK-10;SV Groß Borstel 2.
KK-10;GW Eimsbüttel 3.
KK-10;HFC Falke 2.
KK-10;Lohkamp 2.
KK-10;Eintracht Lokstedt 4.
KK-10;Rellinger FC 1.
KK-10;Groß Flottbek 2.
KK-10;Sternschanze 4.
KK-10;West-Eimsbüttel 2.
KK-11;Union 03 2.
KK-11;Hammonia 4.
KK-11;GW Eimsbüttel 4.
KK-11;Sternschanze 5.
KK-11;Teutonia 10 2.
KK-11;Lohkamp 3.
KK-11;Inter Eidelstedt 1.
KK-11;Störtebeker SV 2.
KK-11;Stellingen 1.
KK-11;HEBC 4.
KK-11;Hansa 11 3.
KK-11;Alsterbrüder 4.
KK-11;Groß Flottbek 3.
KK-11;Lohkamp 3.
KK-11;Groß Flottbek 3.
KK-11;Hansa 11 3.
KK-11;Inter Eidelstedt 1.
KK-11;HEBC 4.
KK-11;Stellingen 1.
KK-11;Sternschanze 5.
KK-11;GW Eimsbüttel 4.
KK-11;Union 03 2.
KK-11;Teutonia 10 2.
KK-11;Hammonia 4.
KK-11;Alsterbrüder 4.
KK-11;Störtebeker SV 2.
KK-12;SC Pinneberg 1.
KK-12;Waldenau 1.
KK-12;BLS Hamburg 01 1.
KK-12;Komet Blankenese 1.
KK-12;VfL Pinneberg 2.
KK-12;FC Hamburger Berg 1.
KK-12;Kickers Halstenbek 1.
KK-12;Rissen 2.
KK-12;Cosmos Wedel 2.
KK-12;TuS Osdorf 3.
KK-12;Union 03 3.
KK-12;Altona 93 4.
KK-12;Wedel 2.
KK-12;Osdorfer Born 1.
KK-12;BLS Hamburg 01 1.
KK-12;Altona 93 4.
KK-12;VfL Pinneberg 2.
KK-12;Wedel 2.
KK-12;Kickers Halstenbek 1.
KK-12;Komet Blankenese 1.
KK-12;Rissen 2.
KK-12;FC Hamburger Berg 1.
KK-12;SC Pinneberg 1.
KK-12;Waldenau 1.
KK-12;TuS Osdorf 3.
KK-12;Union 03 3.
KK-12;Osdorfer Born 1.
KK-12;Cosmos Wedel 2.
