Staffel;Vereinsname
KK-03;ASV Bergedorf 85 2.
KK-03;Aumühle 2.
KK-03;Düneberg 2.
KK-03;Schwarzenbek 3.
KK-03;Hamwarde 2.
KK-03;FSV Geesthacht 2.
KK-03;Escheburg 3.
KK-03;Lohbrügge 3.
KK-04;Mesopotamien 2.
KK-04;Einigkeit 2.
KK-04;SV Wilhelmsburg 3.
KK-04;Störtebeker SV 1.
KK-04;Lorbeer 1.
KK-04;Vorwärts Ost 1.
KK-04;Bostelbek 2.
KK-04;Aumühle 3.
KK-04;FC Türkiye 2.
KK-04;RW Wilhelmsburg 3.
KK-04;Billstedt-Horn 5.
KK-04;MSV Hamburg 3.
KK-04;HafenCity 2.
KK-04;Mesopotamien 2.
KK-04;Billstedt-Horn 5.
KK-04;Vorwärts Ost 1.
KK-04;Einigkeit 2.
KK-04;Bostelbek 2.
KK-04;Lorbeer 1.
KK-04;HafenCity 2.
KK-04;Störtebeker SV 1.
KK-04;SV Wilhelmsburg 3.
KK-04;MSV Hamburg 3.
KK-04;RW Wilhelmsburg 3.
KK-04;Aumühle 3.
KK-04;FC Türkiye 2.
KK-05;Polonia 4.
KK-05;SVNA 3.
KK-05;SC Hamm 1.
KK-05;SC Europa 1.
KK-05;ETSV Hamburg 2.
KK-05;ASV Bergedorf 85 3.
KK-05;SC V. M. 4.
KK-05;Hamm United 3.
KK-05;FC Preußen Hamburg 1.
KK-05;Aumühle 4.
KK-05;Oststeinbek 2.
KK-05;Billstedt-Horn 3.
KK-05;Glinde 3.
KK-05;Lorbeer 2.
KK-05;MSV Hamburg 1.
KK-05;SVNA 3.
KK-05;HT 16 2.
KK-05;Polonia 4.
KK-05;MSV Hamburg 1.
KK-05;SC Europa 1.
KK-05;Billstedt-Horn 3.
KK-05;FC Preußen Hamburg 1.
KK-05;ETSV Hamburg 2.
KK-05;Oststeinbek 2.
KK-05;SC V. M. 4.
KK-05;SVNA 3.
KK-05;ASV Bergedorf 85 3.
KK-05;Polonia 4.
KK-05;Lorbeer 2.
KK-05;HT 16 2.
KK-05;Hamm United 3.
KK-05;SC Hamm 1.
KK-05;Aumühle 4.
KK-05;Glinde 3.
KK-06;Lorbeer 3.
KK-06;tus BERNE 3.
KK-06;Vorw. Wacker 4.
KK-06;Barsbüttel 3.
KK-06;Stapelfeld 2.
KK-06;Concordia 3.
KK-06;SC FU 1.
KK-06;Farmsen 1.
KK-06;Condor 4.
KK-06;Willinghusen 2.
KK-06;Polonia 3.
KK-06;Billstedt-Horn 4.
KK-06;SC FU 1.
KK-06;Concordia 3.
KK-06;Willinghusen 2.
KK-06;tus BERNE 3.
KK-06;Farmsen 1.
KK-06;Barsbüttel 3.
KK-06;Billstedt-Horn 4.
KK-06;Vorw. Wacker 4.
KK-06;Stapelfeld 2.
KK-06;Polonia 3.
KK-06;Lorbeer 3.
KK-06;Condor 4.
KK-07;HafenCity 3.
KK-07;SV Alter Teichweg 1.
KK-07;BU 5.
KK-07;Hellbrook 1.
KK-07;MSV Hamburg 4.
KK-07;Bramfeld 5.
KK-07;Croatia 2.
KK-07;tus BERNE 2.
KK-07;Urania 2.
KK-07;Tonndorf-Lohe 1.
KK-07;Farmsen 2.
KK-07;FC Gregs 1.
KK-07;DJK Hamburg 1.
KK-07;SV Barmbek 1.
KK-07;DSC Hanseat 2.
KK-07;FC Gregs 1.
KK-07;Hellbrook 1.
KK-07;SV Alter Teichweg 1.
KK-07;DSC Hanseat 2.
KK-07;tus BERNE 2.
KK-07;Tonndorf-Lohe 1.
KK-07;Croatia 2.
KK-07;SV Barmbek 1.
KK-07;BU 5.
KK-07;HafenCity 3.
KK-07;Farmsen 2.
KK-07;Urania 2.
KK-07;MSV Hamburg 4.
KK-07;DJK Hamburg 1.
KK-07;Bramfeld 5.
KK-08;DUWO 08 1.
KK-08;VfL 93 2.
KK-08;Paloma 4.
KK-08;Polonia 2.
KK-08;Glashütte 2.
KK-08;UH-Adler 3.
KK-08;Poppenbüttel 2.
KK-08;Nordlichter im NSV 1.
KK-08;Bergstedt 2.
KK-08;Hummelsbüttel 1.
KK-08;Hellbrook 2.
KK-08;HSV V
KK-08;Hamburg Hurricanes 2.
KK-08;DSC Hanseat 3.
KK-08;Alstertal-Langenhorn 2.
KK-08;Glashütte 2.
KK-08;DSC Hanseat 3.
KK-08;Hellbrook 2.
KK-08;Nordlichter im NSV 1.
KK-08;VfL 93 2.
KK-08;Alstertal-Langenhorn 2.
KK-08;Hummelsbüttel 1.
KK-08;Polonia 2.
KK-08;HSV V
KK-08;Paloma 4.
KK-08;DUWO 08 1.
KK-08;Bergstedt 2.
KK-08;UH-Adler 3.
KK-08;Poppenbüttel 2.
KK-08;Hamburg Hurricanes 2.
KK-09;VfL 93 3.
KK-09;FC Guine-Bissau
KK-09;Nordlichter im NSV 2.
KK-09;Tangstedt 2.
KK-09;Victoria 5.
KK-09;Germania 3.
KK-09;SV Groß Borstel 3.
KK-09;Eintracht Lokstedt 3.
KK-09;Niendorf 5.
KK-09;Teutonia 10 3.
KK-09;Friedrichsgabe 1.
KK-09;Alstertal-Langenhorn 3.
KK-09;Rugenbergen 3.
KK-09;Victoria 5.
KK-09;FC Guine-Bissau
KK-09;Rugenbergen 3.
KK-09;VfL 93 3.
KK-09;Eintracht Lokstedt 3.
KK-09;Alstertal-Langenhorn 3.
KK-09;Teutonia 10 3.
KK-09;Friedrichsgabe 1.
KK-09;Tangstedt 2.
KK-09;Germania 3.
KK-09;Nordlichter im NSV 2.
KK-09;SV Groß Borstel 3.
KK-09;Niendorf 5.
KK-10;Eintracht Lokstedt 4.
KK-10;Lohkamp 2.
KK-10;Rellinger FC 1.
KK-10;West-Eimsbüttel 2.
KK-10;Teutonia 10 1.
KK-10;Sternschanze 4.
KK-10;TuS Osdorf 2.
KK-10;SV Groß Borstel 2.
KK-10;SV Eidelstedt 4.
KK-10;HFC Falke 2.
KK-10;GW Eimsbüttel 3.
KK-10;Groß Flottbek 2.
KK-10;DUWO 08 2.
KK-10;Teutonia 10 1.
KK-10;TuS Osdorf 2.
KK-10;DUWO 08 2.
KK-10;SV Eidelstedt 4.
KK-10;SV Groß Borstel 2.
KK-10;GW Eimsbüttel 3.
KK-10;HFC Falke 2.
KK-10;Lohkamp 2.
KK-10;Eintracht Lokstedt 4.
KK-10;Rellinger FC 1.
KK-10;Groß Flottbek 2.
KK-10;Sternschanze 4.
KK-10;West-Eimsbüttel 2.
KK-11;Groß Flottbek 3.
KK-11;Union 03 2.
KK-11;Lohkamp 3.
KK-11;Teutonia 10 2.
KK-11;GW Eimsbüttel 4.
KK-11;Inter Eidelstedt 1.
KK-11;Störtebeker SV 2.
KK-11;Stellingen 1.
KK-11;Sternschanze 5.
KK-11;Hammonia 4.
KK-11;HEBC 4.
KK-11;Hansa 11 3.
KK-11;Alsterbrüder 4.
KK-11;Lohkamp 3.
KK-11;Groß Flottbek 3.
KK-11;Hansa 11 3.
KK-11;Inter Eidelstedt 1.
KK-11;HEBC 4.
KK-11;Stellingen 1.
KK-11;Sternschanze 5.
KK-11;GW Eimsbüttel 4.
KK-11;Union 03 2.
KK-11;Teutonia 10 2.
KK-11;Hammonia 4.
KK-11;Alsterbrüder 4.
KK-11;Störtebeker SV 2.
KK-12;Rissen 2.
KK-12;SC Pinneberg 1.
KK-12;FC Hamburger Berg 1.
KK-12;Waldenau 1.
KK-12;Union 03 3.
KK-12;TuS Osdorf 3.
KK-12;Osdorfer Born 1.
KK-12;Komet Blankenese 1.
KK-12;Cosmos Wedel 2.
KK-12;Wedel 2.
KK-12;BLS Hamburg 01 1.
KK-12;Altona 93 4.
KK-12;VfL Pinneberg 2.
KK-12;Kickers Halstenbek 1.
KK-12;BLS Hamburg 01 1.
KK-12;Altona 93 4.
KK-12;VfL Pinneberg 2.
KK-12;Wedel 2.
KK-12;Kickers Halstenbek 1.
KK-12;Komet Blankenese 1.
KK-12;Rissen 2.
KK-12;FC Hamburger Berg 1.
KK-12;SC Pinneberg 1.
KK-12;Waldenau 1.
KK-12;TuS Osdorf 3.
KK-12;Union 03 3.
KK-12;Osdorfer Born 1.
KK-12;Cosmos Wedel 2.
KL-01;Heidgraben 2.
KL-01;Sparrieshoop 1.
KL-01;Appen 1.
KL-01;Cosmos Wedel 1.
KL-01;Borstel 1.
KL-01;Hörnerkirchen 1.
KL-01;Wedel 1.
KL-01;Heist 1.
KL-01;Union Tornesch 3.
KL-01;Rissen 1.
KL-01;Rantzau 2.
KL-01;Holm 1.
KL-01;Moorrege 1.
KL-01;Tangstedt 1.
KL-01;Lieth 2.
KL-01;Roland Wedel 1.
KL-01;Hörnerkirchen 1.
KL-01;Rissen 1.
KL-01;Wedel 1.
KL-01;Heidgraben 2.
KL-01;Roland Wedel 1.
KL-01;Sparrieshoop 1.
KL-01;Rantzau 2.
KL-01;Cosmos Wedel 1.
KL-01;Tangstedt 1.
KL-01;Union Tornesch 3.
KL-01;Appen 1.
KL-01;Heist 1.
KL-01;Lieth 2.
KL-01;Moorrege 1.
KL-01;Borstel 1.
KL-01;Holm 1.
KL-02;FSV Harburg-Rönneburg 1.
KL-02;SV Wilhelmsburg 1.
KL-02;Buxtehude 1.
KL-02;Este 06/​70 1.
KL-02;RW Wilhelmsburg 1.
KL-02;Altenwerder 1.
KL-02;Kosova 2.
KL-02;Bostelbek 1.
KL-02;Harburger TB 2.
KL-02;FC Veddel United 1.
KL-02;Viktoria Harburg 1.
KL-02;Harburger SC 2.
KL-02;Süderelbe 3.
KL-02;Hellas United 1.
KL-02;St. Pauli VII
KL-02;Buxtehude 1.
KL-02;Harburger TB 2.
KL-02;RW Wilhelmsburg 1.
KL-02;Hellas United 1.
KL-02;Viktoria Harburg 1.
KL-02;St. Pauli VII
KL-02;Altenwerder 1.
KL-02;Kosova 2.
KL-02;FSV Harburg-Rönneburg 1.
KL-02;FC Veddel United 1.
KL-02;Bostelbek 1.
KL-02;Harburger SC 2.
KL-02;Süderelbe 3.
KL-02;SV Wilhelmsburg 1.
KL-02;Este 06/​70 1.
KL-03;Voran Ohe 2.
KL-03;FSV Geesthacht 1.
KL-03;SC Wentorf 2.
KL-03;Escheburg 2.
KL-03;Glinde 2.
KL-03;Altengamme 2.
KL-03;Lohbrügge 2.
KL-03;Reinbek 1.
KL-03;Curslack-Neuengamme 2.
KL-03;Dassendorf 2.
KL-03;Börnsen 2.
KL-03;Lauenburg 1.
KL-03;Schwarzenbek 2.
KL-03;ASV Bergedorf 85 1.
KL-03;SC V. M. 2.
KL-03;Dassendorf 2.
KL-03;ASV Bergedorf 85 1.
KL-03;SC V. M. 2.
KL-03;Escheburg 2.
KL-03;Reinbek 1.
KL-03;Lauenburg 1.
KL-03;Börnsen 2.
KL-03;SC Wentorf 2.
KL-03;Altengamme 2.
KL-03;Lohbrügge 2.
KL-03;Glinde 2.
KL-03;Voran Ohe 2.
KL-03;Curslack-Neuengamme 2.
KL-03;Schwarzenbek 2.
KL-03;FSV Geesthacht 1.
KL-04;Billstedt-Horn 1.
KL-04;Stapelfeld 1.
KL-04;Barsbüttel 2.
KL-04;Urania 1.
KL-04;Walddörfer 2.
KL-04;Rahlstedt 2.
KL-04;Condor 3.
KL-04;Meiendorf 2.
KL-04;Wandsetal 1.
KL-04;BU 4.
KL-04;Bramfeld 2.
KL-04;Willinghusen 1.
KL-04;Ahrensburg 2.
KL-04;ASV Hamburg 2.
KL-04;Walddörfer 2.
KL-04;Stapelfeld 1.
KL-04;Barsbüttel 2.
KL-04;Bramfeld 2.
KL-04;Wandsetal 1.
KL-04;Willinghusen 1.
KL-04;Billstedt-Horn 1.
KL-04;Ahrensburg 2.
KL-04;Urania 1.
KL-04;Condor 3.
KL-04;ASV Hamburg 2.
KL-04;BU 4.
KL-04;Rahlstedt 2.
KL-04;Meiendorf 2.
KL-05;BU 3.
KL-05;Sasel 3.
KL-05;Hamm United 2.
KL-05;Sperber 2.
KL-05;Wellingsbüttel 2.
KL-05;Paloma 3.
KL-05;Billstedt-Horn 2.
KL-05;Polonia 1.
KL-05;TuS Hamburg 1.
KL-05;UH-Adler 2.
KL-05;Hamburg Hurricanes 1.
KL-05;Bramfeld 3.
KL-05;Rahlstedt 3.
KL-05;Wandsetal 2.
KL-05;Eilbek 3.
KL-05;FC Winterhude 1.
KL-05;Paloma 3.
KL-05;BU 3.
KL-05;UH-Adler 2.
KL-05;Paloma 3.
KL-05;Sasel 3.
KL-05;FC Winterhude 1.
KL-05;Polonia 1.
KL-05;Eilbek 3.
KL-05;BU 3.
KL-05;Hamm United 2.
KL-05;Rahlstedt 3.
KL-05;Sperber 2.
KL-05;Hamburg Hurricanes 1.
KL-05;Billstedt-Horn 2.
KL-05;Wellingsbüttel 2.
KL-05;TuS Hamburg 1.
KL-05;Wandsetal 2.
KL-05;Bramfeld 3.
KL-06;Bergstedt 1.
KL-06;Egenbüttel 2.
KL-06;Ellerau 1.
KL-06;St. Pauli IV
KL-06;Hasloh 1.
KL-06;Glashütte 1.
KL-06;West-Eimsbüttel 1.
KL-06;Harksheide 3.
KL-06;Germania 2.
KL-06;SV Eidelstedt 1.
KL-06;Lemsahl 1.
KL-06;1. FC Quickborn 1.
KL-06;Rugenbergen 2.
KL-06;Niendorf 4.
KL-06;Hoisbüttel 1.
KL-06;SV Eidelstedt 1.
KL-06;Harksheide 3.
KL-06;Hasloh 1.
KL-06;Bergstedt 1.
KL-06;Rugenbergen 2.
KL-06;St. Pauli IV
KL-06;West-Eimsbüttel 1.
KL-06;Glashütte 1.
KL-06;Lemsahl 1.
KL-06;Egenbüttel 2.
KL-06;Hoisbüttel 1.
KL-06;Germania 2.
KL-06;Niendorf 4.
KL-06;1. FC Quickborn 1.
KL-06;Ellerau 1.
KL-07;Hammonia 2.
KL-07;Egenbüttel 3.
KL-07;Hansa 11 1.
KL-07;BSV 19 1.
KL-07;Eimsbüttel 3.
KL-07;HafenCity 1.
KL-07;Blau-Weiss Ellas 1.
KL-07;Altona 93 3.
KL-07;Victoria 3.
KL-07;Hammonia 2.
KL-07;Alsterbrüder 2.
KL-07;Egenbüttel 3.
KL-07;Sternschanze 2.
KL-07;HEBC 3.
KL-07;St. Pauli V
KL-07;GW Eimsbüttel 2.
KL-07;HEBC 3.
KL-07;St. Pauli V
KL-07;Sternschanze 2.
KL-07;Victoria 3.
KL-07;Hansa 11 1.
KL-07;HafenCity 1.
KL-07;Altona 93 3.
KL-07;GW Eimsbüttel 2.
KL-07;Eimsbüttel 3.
KL-07;Alsterbrüder 2.
KL-07;Egenbüttel 3.
KL-07;Hammonia 2.
KL-07;Blau-Weiss Ellas 1.
KL-07;BSV 19 1.
KL-08;Hansa 11 2.
KL-08;Nienstedten 2.
KL-08;Hammonia 3.
KL-08;Lurup 1.
KL-08;Teutonia 05 3.
KL-08;Victoria 4.
KL-08;Nikola Tesla 2.
KL-08;St. Pauli VI
KL-08;Groß Flottbek 1.
KL-08;Eimsbüttel 4.
KL-08;Blankenese 2.
KL-08;Lohkamp 1.
KL-08;Alsterbrüder 3.
KL-08;Sternschanze 3.
KL-08;Union Tornesch 4.
KL-08;Altenwerder 2.
KL-08;Sternschanze 3.
KL-08;Groß Flottbek 1.
KL-08;St. Pauli VI
KL-08;Nienstedten 2.
KL-08;Hammonia 3.
KL-08;Eimsbüttel 4.
KL-08;Hansa 11 2.
KL-08;Victoria 4.
KL-08;Nikola Tesla 2.
KL-08;Lohkamp 1.
KL-08;Lurup 1.
KL-08;Teutonia 05 3.
KL-08;Alsterbrüder 3.
KL-08;Blankenese 2.
KL-08;Union Tornesch 4.
KL-08;Altenwerder 2.
